ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
41.234.31.200;8080;Transparent;false;"Egypt";1080;66;"Jan 22 16:42:40"
219.234.82.79;19351;Distorting;false;"China";2786;96;"Jan 22 16:42:35"
219.234.82.61;8087;Distorting;false;"China";1745;95;"Jan 22 16:41:57"
41.213.134.137;80;Anonymous;false;"Reunion";1815;89;"Jan 22 16:41:50"
219.233.194.18;8080;Distorting;false;"China";7077;90;"Jan 22 16:41:32"
212.192.120.67;3128;Transparent;false;"Russian Federation";698;51;"Jan 22 16:41:15"
212.175.88.3;8080;Transparent;false;"Turkey";911;95;"Jan 22 16:41:13"
217.219.123.59;3128;Transparent;false;"Iran";1456;97;"Jan 22 16:39:09"
202.69.105.154;3128;Transparent;false;"Indonesia";2334;92;"Jan 22 16:38:52"
219.234.82.76;29037;Distorting;false;"China";3012;97;"Jan 22 16:38:33"
203.93.28.166;8080;Transparent;false;"China";1619;91;"Jan 22 16:38:19"
202.58.124.69;3131;Transparent;false;"Indonesia";1367;98;"Jan 22 16:38:04"
202.51.226.140;8080;Transparent;false;"Indonesia";5959;81;"Jan 22 16:38:01"
202.182.52.22;8080;Transparent;false;"Indonesia";1075;89;"Jan 22 16:37:24"
202.182.51.50;8080;Transparent;false;"Indonesia";6637;96;"Jan 22 16:37:22"
202.166.198.125;80;Transparent;false;"Nepal";3309;85;"Jan 22 16:37:13"
202.97.159.227;8080;Transparent;false;"China";5943;81;"Jan 22 16:37:10"
217.12.115.90;8080;Transparent;false;"Moldova";323;38;"Jan 22 16:37:10"
202.143.190.74;3128;Transparent;false;"Thailand";1319;95;"Jan 22 16:36:43"
202.143.166.250;8080;Transparent;false;"Thailand";15457;88;"Jan 22 16:36:41"
202.137.22.182;8080;Transparent;false;"Indonesia";5431;78;"Jan 22 16:36:26"
202.116.160.89;80;Anonymous;false;"China";6028;83;"Jan 22 16:36:20"
